Q1,Q2,Q3,Q4,Q6,Q24
33,Man,Netherlands,Master’s degree,4,4457
41,Man,Germany,Doctoral degree,25,56202
32,Man,Belgium,Doctoral degree,3,33683
27,Woman,Germany,Master’s degree,4,56837
26,Woman,Saudi Arabia,Master’s degree,6,43348
23,Man,Russia,Doctoral degree,3,2511
21,Man,Turkey,Bachelor’s degree,1,7221
33,Man,Russia,Master’s degree,10,17222
33,Man,Italy,Professional degree,0.16409001916426547,709
42,Man,Spain,Some college/university study without earning a bachelor’s degree,26,116464
24,Woman,India,Bachelor’s degree,0,519
28,Man,"Iran, Islamic Republic of...",Master’s degree,3,2907
50,Man,Spain,Doctoral degree,30,73450
30,Man,United States of America,Master’s degree,5,81571
32,Man,India,Bachelor’s degree,0.5792367870087842,10131
52,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,14,49908
47,Man,United States of America,Master’s degree,5,186234
31,Woman,India,Bachelor’s degree,3,24120
39,Man,United States of America,Master’s degree,27,185942
30,Woman,Spain,Master’s degree,1,41595
40,Woman,United States of America,Bachelor’s degree,0.7262047738633769,34822
23,Woman,Japan,Some college/university study without earning a bachelor’s degree,10,35
22,Man,United States of America,Master’s degree,5,36488
34,Man,Egypt,Bachelor’s degree,15,17840
30,Woman,Germany,Doctoral degree,6,55455
28,Woman,Tunisia,Professional degree,1,887
23,Woman,Romania,Master’s degree,1,18892
31,Man,Russia,Bachelor’s degree,2,27778
27,Man,India,Master’s degree,2,14503
44,Man,India,Master’s degree,4,12525
39,Man,India,Master’s degree,7,4971
40,Man,United States of America,Doctoral degree,21,340528
27,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1,61800
23,Woman,India,Master’s degree,0.8249369628789179,919
28,Man,Colombia,Professional degree,7,11336
20,Man,United States of America,Master’s degree,5,93631
61,Man,Japan,Master’s degree,0.10059356258591201,184826
36,Man,Republic of Korea,Professional degree,8,52214
23,Man,India,Bachelor’s degree,20,11594
31,Man,United States of America,Doctoral degree,4,146373
31,Man,Chile,Master’s degree,4,28640
21,Man,India,Bachelor’s degree,4,821
44,Woman,United States of America,Master’s degree,1,41422
29,Man,India,Bachelor’s degree,3,279
32,Man,United States of America,Master’s degree,9,210083
19,Man,India,Bachelor’s degree,1,782
53,Man,Japan,Master’s degree,24,145957
26,Man,India,Master’s degree,5,524
24,Man,India,Bachelor’s degree,0,2614
20,Man,Brazil,Bachelor’s degree,1,4889
20,Man,India,Bachelor’s degree,3,695
24,Man,Italy,Master’s degree,7,5022
27,Man,India,Bachelor’s degree,4,24906
44,Man,United States of America,Master’s degree,15,166575
23,Man,Russia,Master’s degree,1,13241
58,Man,Germany,Doctoral degree,20,134418
50,Man,United States of America,Master’s degree,29,118882
69,Man,United States of America,Master’s degree,23,196749
27,Man,India,Master’s degree,10,14512
31,Man,Mexico,Master’s degree,0.3076523488590912,28043
24,Man,United States of America,Master’s degree,5,68674
28,Man,Ireland,Master’s degree,0.4365102056535908,57921
29,Man,Taiwan,Master’s degree,0.6163472526378766,2347
49,Man,"Iran, Islamic Republic of...",Master’s degree,21,23519
35,Man,Spain,Master’s degree,5,24926
31,Man,Sweden,Master’s degree,6,58452
35,Man,Spain,Doctoral degree,14,71102
44,Man,Poland,Doctoral degree,0.13083113805454882,591
37,Woman,Poland,Master’s degree,3,43884
57,Man,Netherlands,Master’s degree,8,73698
61,Man,United States of America,Master’s degree,20,68697
23,Man,India,Master’s degree,2,1558
49,Man,Canada,Master’s degree,28,103999
59,Man,United States of America,Master’s degree,30,226407
55,Man,France,Doctoral degree,30,391913
23,Man,India,Bachelor’s degree,1,6727
18,Man,India,Bachelor’s degree,1,79
26,Man,United States of America,Bachelor’s degree,10,107546
35,Man,Japan,Master’s degree,10,6457
43,Man,Brazil,Master’s degree,27,23548
36,Man,India,Master’s degree,2,859
23,Man,Greece,Some college/university study without earning a bachelor’s degree,3,377
34,Man,Indonesia,Bachelor’s degree,0.5835480360896239,349
52,Man,Taiwan,Doctoral degree,17,3878
36,Man,Australia,Bachelor’s degree,0.8157768210361243,150943
49,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0,113821
44,Man,United States of America,Doctoral degree,17,80032
35,Man,United States of America,Master’s degree,23,146025
43,Man,Taiwan,Master’s degree,18,55362
31,Man,United States of America,Some college/university study without earning a bachelor’s degree,8,105839
24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.32652211441574275,46305
31,Man,Mexico,Doctoral degree,19,14516
42,Man,India,Master’s degree,2,64875
24,Man,India,Bachelor’s degree,2,511370
29,Man,India,Bachelor’s degree,3,22442
24,Man,India,Bachelor’s degree,0,6485
38,Man,Republic of Korea,Master’s degree,0.11924553158117135,7216
28,Man,France,Master’s degree,5,47391
29,Woman,United States of America,Master’s degree,5,235
39,Man,United States of America,Master’s degree,20,174337
48,Man,United States of America,Doctoral degree,25,132104
40,Man,United Arab Emirates,Professional degree,0,13849
43,Woman,Chile,Master’s degree,0.9636334759564983,12099
26,Man,Australia,Master’s degree,2,56516
25,Man,United States of America,Master’s degree,1,89099
42,Woman,Malaysia,Doctoral degree,9,22345
20,Woman,India,Bachelor’s degree,5,550
42,Man,Egypt,Bachelor’s degree,17,607
40,Man,India,Bachelor’s degree,9,88705
45,Man,Colombia,Master’s degree,0.593104754908766,49750
37,Man,Greece,Master’s degree,1,11085
51,Man,Japan,Bachelor’s degree,29,91636
20,Man,India,Bachelor’s degree,2,567
23,Man,India,Bachelor’s degree,0.7518782742565737,5068
25,Woman,"Iran, Islamic Republic of...",Doctoral degree,5,574
25,Man,Japan,Master’s degree,1,50346
25,Man,United States of America,Master’s degree,8,12090
47,Man,Ukraine,Some college/university study without earning a bachelor’s degree,2,43713
42,Man,India,Professional degree,0,46548
18,Man,India,Bachelor’s degree,0.7765981835987185,823
20,Man,Belarus,Bachelor’s degree,7,515
27,Man,United States of America,Master’s degree,3,103712
35,Man,Netherlands,Master’s degree,4,52031
29,Woman,Philippines,Master’s degree,1,5774
26,Man,Japan,Master’s degree,10,582
23,Woman,India,Master’s degree,0.6048258348330973,1797
57,Man,Australia,Bachelor’s degree,30,29319
33,Man,United States of America,Doctoral degree,8,68208
23,Woman,Nepal,Master’s degree,5,906
34,Man,Ukraine,Master’s degree,5,2074
24,Man,Brazil,Master’s degree,0.701336240282978,1511
59,Man,India,No formal education past high school,0,2245
25,Woman,India,Doctoral degree,2,343
51,Man,United States of America,Master’s degree,24,183036
49,Man,India,Master’s degree,5,20391
51,Man,Taiwan,Bachelor’s degree,23,39785
48,Man,Ukraine,Professional degree,27,15374
21,Man,Kenya,Bachelor’s degree,1,444
51,Man,Italy,Master’s degree,5,138014
37,Man,South Africa,Master’s degree,9,47196
34,Man,Poland,Master’s degree,2,9412
22,Man,India,Bachelor’s degree,2,283
25,Man,India,Bachelor’s degree,10,19832
61,Man,Canada,Professional degree,29,112710
22,Man,Indonesia,Bachelor’s degree,2,164
22,Woman,India,Bachelor’s degree,2,23552
39,Man,United States of America,Master’s degree,10,109356
60,Man,Canada,Master’s degree,30,81
18,Man,India,Bachelor’s degree,0.7338311156879008,211
34,Man,Turkey,Bachelor’s degree,0.5794023645917733,16831
24,Man,United States of America,Bachelor’s degree,0.10785148788578203,82497
53,Man,United States of America,Bachelor’s degree,28,119164
47,Man,Italy,Master’s degree,7,492
48,Woman,Egypt,Master’s degree,0,16130
32,Man,Germany,Master’s degree,3,10473
37,Man,Italy,Some college/university study without earning a bachelor’s degree,17,296
27,Man,Colombia,Professional degree,0.1662448990659211,6902
24,Man,Nigeria,Bachelor’s degree,0.9054921242680374,962
34,Woman,United States of America,Master’s degree,7,112977
48,Man,Germany,Some college/university study without earning a bachelor’s degree,30,93177
22,Man,India,Master’s degree,3,74873
23,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1,37568
36,Man,Turkey,Doctoral degree,9,19136
28,Woman,Spain,Master’s degree,0,524
24,Man,India,Bachelor’s degree,0.22376701356288842,8790
49,Man,United States of America,Bachelor’s degree,1,45597
22,Man,United States of America,Master’s degree,6,55745
28,Man,Brazil,Master’s degree,6,19025
25,Man,India,Bachelor’s degree,5,65499
23,Man,Poland,Master’s degree,2,20196
22,Man,Indonesia,Bachelor’s degree,0.14614120055558033,216
34,Man,United States of America,Master’s degree,5,77650
44,Man,Mexico,Doctoral degree,14,52673
43,Woman,India,Master’s degree,15,41854
32,Man,India,Master’s degree,5,866
51,Man,United States of America,Master’s degree,17,149111
26,Man,Japan,Master’s degree,2,33224
24,Man,Nepal,Master’s degree,1,3814
32,Man,India,Doctoral degree,9,280
18,Woman,India,Bachelor’s degree,2,159
31,Man,India,Bachelor’s degree,4,28629
52,Man,Italy,Master’s degree,20,53594
37,Man,Mexico,Bachelor’s degree,6,26146
40,Man,France,Master’s degree,4,69959
33,Man,Colombia,Professional degree,0.07836640481858503,1674
56,Man,Italy,Professional degree,12,764
63,Man,United States of America,Doctoral degree,13,251053
45,Man,Japan,Master’s degree,3,112343
35,Woman,India,Master’s degree,9,13928
38,Man,Belarus,Master’s degree,0,16640
37,Man,United States of America,Bachelor’s degree,4,147161
43,Man,Saudi Arabia,Bachelor’s degree,0.8064379881074951,98790
23,Man,India,Bachelor’s degree,2,883
51,Man,United States of America,Master’s degree,23,214167
21,Man,India,Bachelor’s degree,0.9148073894786825,471733
36,Woman,Netherlands,Master’s degree,7,133358
38,Woman,Netherlands,Master’s degree,9,46208
30,Man,India,Master’s degree,4,4443
47,Man,India,Doctoral degree,20,43502
30,Man,South Korea,Doctoral degree,4,30034
71,Woman,United States of America,Doctoral degree,27,364
32,Man,United States of America,Doctoral degree,6,121780
36,Woman,Tunisia,Doctoral degree,15,15532
32,Woman,India,Bachelor’s degree,10,9707
25,Man,Mexico,Master’s degree,0,1104
24,Man,Morocco,Master’s degree,4,6521
37,Man,United States of America,Master’s degree,20,219720
46,Man,Canada,Master’s degree,10,85839
39,Man,Portugal,Doctoral degree,20,53629
42,Man,Philippines,Master’s degree,14,29608
48,Man,India,Doctoral degree,27,106845
40,Man,United States of America,Doctoral degree,15,199409
36,Man,Greece,Doctoral degree,14,456
49,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5,96924
37,Man,Brazil,Master’s degree,13,39358
27,Man,India,Bachelor’s degree,2,3900
28,Man,India,Bachelor’s degree,1,4115
54,Man,Brazil,Bachelor’s degree,5,30568
29,Man,India,Professional degree,0.6723294305988906,3307
33,Man,India,Master’s degree,0.5459289875580011,796
36,Man,Nigeria,Bachelor’s degree,4,185
26,Man,India,Bachelor’s degree,0.22887197235294465,4150
55,Man,Sweden,Some college/university study without earning a bachelor’s degree,21,117443
42,Man,France,Master’s degree,5,81859
23,Man,Taiwan,Master’s degree,1,1846
38,Man,Switzerland,Doctoral degree,29,178378
42,Woman,Philippines,Doctoral degree,27,19024
23,Man,India,Bachelor’s degree,0.16114624894008378,12896
26,Man,Pakistan,Master’s degree,0.6958070652235336,6309
47,Man,Philippines,Bachelor’s degree,1,2396
28,Man,India,Bachelor’s degree,1,13435
48,Man,Egypt,Professional degree,3,7425
24,Man,India,Master’s degree,3,12756
32,Man,Mexico,Master’s degree,7,28319
25,Woman,India,Master’s degree,0,344
29,Woman,India,Master’s degree,4,381
25,Woman,Egypt,Professional degree,5,6397
31,Man,United States of America,Master’s degree,7,274343
31,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,8,66242
41,Man,Japan,Doctoral degree,29,99715
48,Man,Egypt,Doctoral degree,2,1598
48,Man,South Africa,Doctoral degree,2,64916
31,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,7,74515
43,Man,Turkey,Professional degree,12,2905
27,Man,India,Bachelor’s degree,5,34481
26,Man,India,Bachelor’s degree,1,4866
25,Man,Ukraine,Master’s degree,9,19524
43,Man,India,Bachelor’s degree,14,302957
52,Woman,Poland,Master’s degree,0.525076364028563,577
54,Man,Japan,Doctoral degree,23,8737
54,Man,Spain,Master’s degree,17,71806
25,Man,Egypt,Bachelor’s degree,0.9444194807259058,3356
27,Man,Germany,Master’s degree,4,70440
42,Man,India,Master’s degree,5,62920
29,Man,France,Master’s degree,3,58016
32,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,7,75225
48,Man,Spain,Master’s degree,20,49551
35,Woman,United States of America,Doctoral degree,8,117324
30,Woman,Japan,Doctoral degree,0.5107349261254434,23768
28,Man,Ireland,Master’s degree,0,12485
26,Man,Turkey,Bachelor’s degree,4,1599
24,Man,Spain,No formal education past high school,5,19579
27,Man,India,Master’s degree,5,48245
31,Man,Netherlands,Master’s degree,5,65303
66,Man,United States of America,Doctoral degree,23,82778
21,Man,Germany,Bachelor’s degree,15,82796
27,Man,Egypt,Bachelor’s degree,1,7355
24,Man,Thailand,Some college/university study without earning a bachelor’s degree,0,119
29,Man,Nigeria,Bachelor’s degree,0.8447889089950387,137
42,Man,Japan,Bachelor’s degree,10,57120
43,Man,India,Master’s degree,5,33346
39,Woman,Argentina,Bachelor’s degree,16,87329
38,Man,Brazil,Master’s degree,16,36085
34,Man,India,Bachelor’s degree,0.43963723036055813,276
36,Man,Brazil,Master’s degree,4,17752
40,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.18199442080425265,78713
25,Man,Russia,Master’s degree,5,2177
28,Man,Republic of Korea,No formal education past high school,1,463
38,Man,Spain,Doctoral degree,9,31121
26,Woman,Nigeria,Master’s degree,0.05328271655631667,2295
29,Man,United States of America,Master’s degree,5,75955
30,Woman,Mexico,Doctoral degree,5,9236
67,Woman,United States of America,Bachelor’s degree,5,876
24,Woman,Indonesia,Bachelor’s degree,1,586
29,Man,Brazil,Master’s degree,3,31930
23,Man,France,Master’s degree,4,32957
22,Woman,India,Bachelor’s degree,1,910
33,Woman,United States of America,Doctoral degree,12,142675
36,Woman,Malaysia,Doctoral degree,8,22238
47,Man,India,Bachelor’s degree,5,24967
67,Man,Turkey,Bachelor’s degree,28,9110
33,Man,United States of America,Master’s degree,7,145956
23,Man,Poland,Some college/university study without earning a bachelor’s degree,8,21723
30,Man,Brazil,Master’s degree,19,27233
53,Man,Ukraine,Doctoral degree,8,4971
21,Man,India,Professional degree,3,803
33,Man,Brazil,Master’s degree,9,560
38,Man,Taiwan,Some college/university study without earning a bachelor’s degree,6,3340
44,Woman,Argentina,Bachelor’s degree,30,15570
52,Man,Netherlands,Master’s degree,26,113533
27,Man,India,Master’s degree,5,14320
44,Woman,Portugal,Master’s degree,13,38281
45,Man,United Kingdom of Great Britain and Northern Ireland,Professional degree,23,110244
51,Man,Sweden,Bachelor’s degree,12,37208
23,Woman,Tunisia,Master’s degree,5,599
34,Man,United Arab Emirates,Doctoral degree,3,51785
50,Woman,Nigeria,Doctoral degree,4,9810
46,Man,United States of America,Master’s degree,27,118755
23,Man,India,Bachelor’s degree,2,642661
19,Man,Viet Nam,Bachelor’s degree,1,880
38,Man,Brazil,Bachelor’s degree,30,16285
29,Man,Viet Nam,No formal education past high school,0,442
46,Man,Russia,Master’s degree,0.6936240408881366,135
32,Woman,Ireland,Doctoral degree,4,55601
55,Woman,Kenya,Doctoral degree,0,791
27,Man,Nigeria,Bachelor’s degree,1,1250
18,Man,Brazil,Bachelor’s degree,2,2051
20,Man,Russia,Bachelor’s degree,4,1969
30,Man,Peru,Master’s degree,3,8709
39,Woman,Argentina,Master’s degree,0.7194414660276124,543
78,Man,Canada,Doctoral degree,23,286
39,Man,Nigeria,Master’s degree,6,97
21,Man,China,Some college/university study without earning a bachelor’s degree,0.3536801853148466,9683
28,Man,Indonesia,Master’s degree,0.8769069923143252,305
23,Woman,Malaysia,Bachelor’s degree,0.9143818810587506,236
32,Man,United States of America,Master’s degree,6,122254
33,Man,India,Bachelor’s degree,0.7817590169950192,175
28,Man,India,Master’s degree,8,21943
24,Woman,"Iran, Islamic Republic of...",Some college/university study without earning a bachelor’s degree,0.6663185886021066,448
31,Man,India,Bachelor’s degree,0.18172116537528293,6647
38,Woman,India,Master’s degree,0.9922275649144012,539
49,Man,United States of America,Master’s degree,11,150298
27,Man,India,Master’s degree,2,822
32,Man,Russia,Master’s degree,3,33916
44,Man,United States of America,Bachelor’s degree,28,222321
45,Man,Portugal,Master’s degree,12,57779
34,Man,United States of America,Master’s degree,2,58552
33,Woman,Tunisia,Doctoral degree,9,332
30,Man,Spain,Master’s degree,14,29279
30,Man,India,Bachelor’s degree,5,2793
35,Man,India,Master’s degree,11,54830
24,Woman,United States of America,Master’s degree,4,970
42,Man,Italy,Doctoral degree,21,12749
41,Man,France,Master’s degree,18,42622
22,Man,India,Master’s degree,2,11548
46,Man,Netherlands,Doctoral degree,15,88683
24,Man,India,Master’s degree,2,661
72,Man,Australia,Master’s degree,23,265
33,Man,United States of America,Doctoral degree,1,620
42,Man,United States of America,Master’s degree,28,226789
39,Man,Republic of Korea,Bachelor’s degree,10,84845
26,Man,Spain,Doctoral degree,5,16439
52,Man,United States of America,Doctoral degree,26,175380
18,Woman,India,Bachelor’s degree,2,344
32,Woman,India,Master’s degree,1,31
43,Man,Netherlands,Bachelor’s degree,4,122523
47,Woman,United States of America,Bachelor’s degree,4,119673
34,Woman,Nigeria,Master’s degree,4,639
26,Man,India,Bachelor’s degree,4,9529
36,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,14,77017
78,Man,India,Master’s degree,5,236297
30,Man,Japan,Master’s degree,1,5471
31,Man,India,Master’s degree,0.3635530027799585,716
43,Man,United States of America,Doctoral degree,25,74030
29,Woman,Kenya,Master’s degree,0.2674649532076482,108
24,Man,United States of America,Master’s degree,5,130813
44,Man,Brazil,Bachelor’s degree,22,16720
34,Man,Russia,Master’s degree,0.9536817403379868,6509
38,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,17,194751
31,Man,United States of America,Master’s degree,19,37
46,Woman,Mexico,Master’s degree,3,83907
28,Man,India,Master’s degree,5,65255
53,Woman,Italy,Doctoral degree,17,49233
33,Man,Australia,Master’s degree,3,73063
44,Man,South Korea,Master’s degree,0.9958052988306767,66494
22,Man,Mexico,Bachelor’s degree,0.39991625103265793,494
49,Man,Japan,Master’s degree,20,55346
29,Man,Argentina,Bachelor’s degree,0,5889
32,Man,India,Bachelor’s degree,0.44847926397673166,799
49,Man,Poland,Master’s degree,13,56135
29,Man,Canada,Master’s degree,7,74155
37,Man,Colombia,Master’s degree,9,511
19,Man,India,Bachelor’s degree,0.5617478477970574,1529
25,Man,India,Bachelor’s degree,4,39057
33,Woman,Turkey,Master’s degree,0.7626933915673685,1842
28,Man,India,Bachelor’s degree,4,23469
22,Man,Colombia,Professional degree,2,3830
49,Man,Malaysia,Bachelor’s degree,10,113405
37,Man,Nigeria,Doctoral degree,5,1727
35,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,11,182654
24,Man,Kenya,Bachelor’s degree,0.458058993597695,2065
27,Man,India,Doctoral degree,3,1979
31,Man,India,Master’s degree,9,328
49,Man,Australia,Bachelor’s degree,16,116532
41,Man,Nigeria,Bachelor’s degree,3,992
44,Man,Philippines,Bachelor’s degree,0,10597
24,Man,India,Bachelor’s degree,3,397
30,Man,Russia,Master’s degree,17,3943
23,Woman,Indonesia,Bachelor’s degree,2,174
19,Man,India,Bachelor’s degree,0.8377565963870285,394
21,Man,India,Bachelor’s degree,0.22682775974245106,546
65,Man,United States of America,Master’s degree,26,148293
26,Man,South Africa,Bachelor’s degree,3,14717
27,Man,Malaysia,Bachelor’s degree,7,10171
33,Man,United States of America,Master’s degree,19,148211
31,Man,United States of America,Bachelor’s degree,4,814
46,Man,Russia,Master’s degree,8,105695
36,Woman,Switzerland,Doctoral degree,18,83986
46,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.37856014193516263,338
27,Woman,United States of America,Doctoral degree,5,16204
43,Man,Germany,Professional degree,20,83542
23,Man,India,Bachelor’s degree,3,5796
32,Man,United States of America,Master’s degree,0.6997087853092022,177302
24,Man,Brazil,Some college/university study without earning a bachelor’s degree,10,429
35,Man,France,Master’s degree,6,144494
32,Man,China,Master’s degree,3,17944
25,Man,Brazil,Master’s degree,1,2111
43,Man,Australia,Bachelor’s degree,19,143501
35,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,11,94683
27,Man,India,Bachelor’s degree,12,8400
22,Man,Bangladesh,Master’s degree,2,39797
48,Man,South Africa,Professional degree,10,81970
36,Man,Netherlands,Some college/university study without earning a bachelor’s degree,7,79265
49,Man,Russia,Doctoral degree,2,22449
55,Man,Canada,Master’s degree,20,12092
43,Man,Belarus,Master’s degree,16,37253
28,Man,Russia,Master’s degree,8,58959
19,Man,Nigeria,No formal education past high school,0.8405243626262936,32
46,Man,United States of America,Master’s degree,10,91278
25,Man,India,Master’s degree,0.8412198354118747,3235
33,Man,Italy,Doctoral degree,14,40183
21,Woman,Nigeria,Bachelor’s degree,2,866
27,Man,Germany,Master’s degree,5,58934
68,Man,United States of America,Master’s degree,15,20866
52,Man,United States of America,Some college/university study without earning a bachelor’s degree,1,394
40,Man,India,Master’s degree,16,66569
32,Man,Italy,Master’s degree,5,51818
22,Man,India,Master’s degree,3,44044
30,Man,United States of America,Master’s degree,8,364525
27,Man,United States of America,Bachelor’s degree,2,86915
27,Man,Nigeria,Bachelor’s degree,3,6773
32,Man,Ukraine,Bachelor’s degree,7,4936
34,Man,Germany,Master’s degree,8,70268
40,Man,United States of America,Master’s degree,4,101728
32,Man,India,Bachelor’s degree,0.727504856944033,863
39,Man,Brazil,Professional degree,3,12708
37,Man,Brazil,Master’s degree,4,153004
40,Man,United States of America,Master’s degree,5,319572
24,Man,India,Bachelor’s degree,4,4939
34,Man,Japan,Bachelor’s degree,6,35255
28,Man,India,Bachelor’s degree,1,9925
33,Woman,Egypt,Doctoral degree,7,341
32,Man,India,Master’s degree,1,11455
28,Man,India,Master’s degree,2,204
51,Man,United States of America,Master’s degree,0,152448
40,Man,Taiwan,Master’s degree,5,19108
31,Man,Pakistan,Master’s degree,3,7183
34,Woman,India,Doctoral degree,15,721
42,Man,Mexico,Master’s degree,3,2787
22,Man,Russia,Master’s degree,9,9935
39,Man,Nigeria,Master’s degree,16,56357
36,Woman,South Africa,Doctoral degree,8,36193
33,Man,India,Master’s degree,6,9544
45,Man,Chile,Master’s degree,5,60366
32,Man,Kenya,Bachelor’s degree,4,5592
30,Man,Brazil,Master’s degree,1,5875
19,Man,India,Bachelor’s degree,0.14143184165479106,185
25,Man,Brazil,Master’s degree,5,11618
38,Man,Nigeria,Master’s degree,2,3066
25,Man,France,Master’s degree,4,40788
35,Man,Japan,Doctoral degree,9,59736
33,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,11,70365
25,Man,Morocco,Master’s degree,3,73
19,Man,India,Bachelor’s degree,10,12442
25,Man,United States of America,Master’s degree,5,97056
34,Woman,Philippines,Master’s degree,7,30715
43,Man,Russia,Master’s degree,28,23027
46,Man,Brazil,Master’s degree,29,3793
26,Man,India,Master’s degree,1,19597
32,Woman,United States of America,Master’s degree,5,130417
44,Man,Indonesia,Professional degree,4,5268
35,Man,France,Master’s degree,0,46734
46,Man,Germany,No formal education past high school,28,195783
34,Man,United States of America,Master’s degree,6,141125
19,Man,India,Bachelor’s degree,0.019442334632093883,788
33,Man,Poland,Master’s degree,16,53990
54,Man,Ukraine,Master’s degree,0.11644734947870572,33971
26,Man,Brazil,Master’s degree,10,20258
41,Man,Brazil,Bachelor’s degree,23,73898
24,Woman,India,Bachelor’s degree,0.6789883860697973,623
37,Man,United States of America,Bachelor’s degree,0.662374745115712,62339
37,Man,Pakistan,Master’s degree,2,1712
28,Man,United Arab Emirates,Bachelor’s degree,0.2835395520580084,249
29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,6,59464
65,Man,Australia,Doctoral degree,23,49835
62,Man,Belgium,Master’s degree,3,59849
38,Woman,United States of America,Master’s degree,7,41540
61,Man,Italy,Some college/university study without earning a bachelor’s degree,26,309
54,Woman,Kenya,Master’s degree,5,1503
36,Woman,Malaysia,Doctoral degree,13,25141
25,Man,Netherlands,Master’s degree,8,8934
32,Man,Japan,Doctoral degree,10,64722
51,Man,Italy,Master’s degree,11,122640
32,Man,United Arab Emirates,Master’s degree,0.3483539938264718,68042
28,Man,India,Professional degree,0,23
22,Man,Brazil,Bachelor’s degree,3,66718
30,Man,India,Master’s degree,3,5422
44,Man,Italy,Master’s degree,11,109032
34,Man,Japan,Bachelor’s degree,4,46949
22,Man,Viet Nam,Master’s degree,0.7780664238267015,307
29,Man,Bangladesh,Bachelor’s degree,0.9001413615797312,243
19,Man,India,Master’s degree,2,488
